DESCRIPCION,UNIDAD,PRECIO UNITARIO,CPC ELEMENTO,NP/ND/EP,VAE (%),RECURSO
"Cable tipo THHN/THWN, 3x12 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x14 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x4 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x6 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable tipo THHN/THWN, 3x8 AWG, 75°C seco/90°C húmedo",,0.0,,,0.0,MATERIAL
"Cable verde aislamiento 600v, cobre 1/c, 2/0 AWG, XLPE",,0.0,,,0.0,MATERIAL
"Cable verde aislamiento 600v, cobre 1/c, 6 AWG, XLPE",,0.0,,,0.0,MATERIAL
"Cables, conectores",,0.0,,,0.0,MATERIAL
Caja Ortogonal Grande,,0.0,,,0.0,MATERIAL
Caja Rectangular,,0.0,,,0.0,MATERIAL
Caja Rectangular Profunda,,0.0,,,0.0,MATERIAL
Caja domiciliaria prefabricada con tapa de hormigón armado,,0.0,,,0.0,MATERIAL
Caja rectangular para pulsador contra incendios,,0.0,,,0.0,MATERIAL
Caldero,,0.0,,,0.0,EQUIPO
"Canal estructural hg 1 5/8"" x 1 5/8""",,0.0,,,0.0,MATERIAL
Canal recolector agua lluvia tool 1/32”” inc. Anclajes,,0.0,,,0.0,MATERIAL
Canales de lavado de plástico reforzadas con fibra de vidrio (FRP),,0.0,,,0.0,MATERIAL
Capacidad interruptiva de protección contra sobre carga y corto circuito,,0.0,,,0.0,MATERIAL
Carga para soldadura # 115 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 150 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 200 GRMS,,0.0,,,0.0,MATERIAL
Carga para soldadura # 90 GRMS,,0.0,,,0.0,MATERIAL
Caudalímetro para verificación de caudal de dosificación,,0.0,,,0.0,MATERIAL
Cemento,,0.0,,,0.0,MATERIAL
Cemento portland Tipo 1,,0.0,,,0.0,MATERIAL
Cemento portland tipo 1,,0.0,,,0.0,MATERIAL
Cerradura de baño,,0.0,,,0.0,MATERIAL
Cerámica para paredes,,0.0,,,0.0,MATERIAL
Cinta cambridge,,0.0,,,0.0,MATERIAL
Cinta de papel para juntas 50mm,,0.0,,,0.0,MATERIAL
Cinta de plástico vinilo aislante eléctrica de alta tensión,,0.0,,,0.0,MATERIAL
"Clavos de 2 a 8""",,0.0,,,0.0,MATERIAL
Clavos de acero,,0.0,,,0.0,MATERIAL
"Codo PVC/PP 1/2""",,0.0,,,0.0,MATERIAL
"Codos, teflón ; accesorios",,0.0,,,0.0,MATERIAL
Columna de calibración,,0.0,,,0.0,MATERIAL
Compresor,,0.0,,,0.0,EQUIPO
"Compuerta deslizante de acero inoxidable AISI 304 (Incluye mecanismo de elevación, pedestal, volante, pernos, accesorios)",,0.0,,,0.0,MATERIAL
Computadora portátil,,0.0,,,0.0,EQUIPO
Concretará 1 saco,,0.0,,,0.0,EQUIPO
Concretera,,0.0,,,0.0,EQUIPO
Conductor Tw Solido #10 AWG,,0.0,,,0.0,MATERIAL
"Conductor aislado par 2000 v, tipo TTU no. 2/0 AWG",,0.0,,,0.0,MATERIAL
"Conductor aislado par 2000 v, tipo TTU no. 500 MCM 37 hilos AWG",,0.0,,,0.0,MATERIAL
"Conduleta ll 1"" inc. cubierta y empaque para exteriores",,0.0,,,0.0,MATERIAL
"Conduleta ll galvanizada 3/4"" inc. cubierta y empaque",,0.0,,,0.0,MATERIAL
"Conduleta t 1"" inc. cubierta y empaque para exteriores",,0.0,,,0.0,MATERIAL
"Conduleta t galvanizada 3/4"" inc. cubierta y empaque",,0.0,,,0.0,MATERIAL
"Conector EMT 1/2""",,0.0,,,0.0,MATERIAL
Conector EMT De 3/4” De Diámetro,,0.0,,,0.0,MATERIAL
Conector EMT ½”,,0.0,,,0.0,MATERIAL
"Conector de puesta a tierra servit post, para cable 2 - 2/0 AWG, 1/2""x 17/32"", para dos cables",,0.0,,,0.0,MATERIAL
"Conector de puesta a tierra servit post, para cable 8-6 AWG, 3/8"" x 15/32"", para un cable",,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 10AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 12AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 14AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 2PR #24AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 4 AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 6AWG,,0.0,,,0.0,MATERIAL
Conector plástico para cable TC 8AWG,,0.0,,,0.0,MATERIAL
Conector terminal plano para cable 2/0 AWG de cobre,,0.0,,,0.0,MATERIAL
Conector terminal plano para cable 500 MCM de cobre,,0.0,,,0.0,MATERIAL
"Contactor con resistencias de preinserción 460v, 10 KVAR",,0.0,,,0.0,MATERIAL
"Contactor con resistencias de preinserción 460v, 20 KVAR",,0.0,,,0.0,MATERIAL
"Contactor con resistencias de preinserción 460v, 30 KVAR",,0.0,,,0.0,MATERIAL
Control y sensor automático para dosificación,,0.0,,,0.0,MATERIAL
Controlador de factor de potencia mínimo en 6 pasos,,0.0,,,0.0,MATERIAL
Controlador de transferencia con panel frontal,,0.0,,,0.0,MATERIAL
Cordón de suelda acero inoxidable calificado,,0.0,,,0.0,MATERIAL
Cordón de suelda calificado,,0.0,,,0.0,MATERIAL
Cortina black out (Provisión y montaje),,0.0,,,0.0,MATERIAL
"Cortina cebra (Incluye riel, accesorios, instalación)",,0.0,,,0.0,MATERIAL
"Cortina roller screen (Incl. accesorios, instalación)",,0.0,,,0.0,MATERIAL
"Curva horizontal de bandeja hg 90° 0,20x0,15 m inc. Tapa",,0.0,,,0.0,MATERIAL
"Curva vertical de bandeja hg 90° 0,20x0,15 m inc. Tapa",,0.0,,,0.0,MATERIAL
CÉSPED (CHAMBA),,0.0,,,0.0,MATERIAL
Cámaras de arqueo individuales.,,0.0,,,0.0,MATERIAL
DESMOLDANTE,gal,8.25,,,0.0,MATERIAL
DESMOLDANTE,,0.0,,,0.0,MATERIAL
"DETECTOR DE HUMO CON ALARMA OPTICO ANALÓGICO, INCLUYE ZOCALO BAJO PARA DETECTORES",,0.0,,,0.0,MATERIAL
DISCO DE CORTE,,0.0,,,0.0,MATERIAL
DISCO DE CORTE (AMOLADORA),,0.0,,,0.0,MATERIAL
DISCO DE DESBASTE,,0.0,,,0.0,MATERIAL
DISCO DESBASTE,,0.0,,,0.0,MATERIAL
"DISCO DIAMANTADO 14"" PARA CORTE DE ASFALTO",,0.0,,,0.0,MATERIAL
DISCO DIAMANTADO PARA CORTE DE PAVIMENTO,,0.0,,,0.0,MATERIAL
DISOLVENTE,,0.0,,,0.0,MATERIAL
DISPOSICIÓN DE RESIDUOS PELIGROSOS CON UN GESTOR AMBIENTAL,,0.0,,,0.0,MATERIAL
DISTRIBUIDOR ELÉCTRICO RESIDENCIAL 2 F 8 CIRCUITOS,,0.0,,,0.0,MATERIAL
DUCTO ELÉCTRICO PVC D = 110 MM,,0.0,,,0.0,MATERIAL
"DUELA DE EUCALIPTO 10X1,8X240CM",u,3.36,,,0.0,MATERIAL
Detector de humo,,0.0,,,0.0,MATERIAL
"Detector de temperatura fotoeléctrico direccionable con base de 6""",,0.0,,,0.0,MATERIAL
Detergente desengrasante – Grado alimenticio,,0.0,,,0.0,MATERIAL
Difusor de cloro gas (500 LB/D),,0.0,,,0.0,MATERIAL
Disco De Corte,,0.0,,,0.0,MATERIAL
Disco De Desbaste,,0.0,,,0.0,MATERIAL
Disco de corte,,0.0,,,0.0,MATERIAL
Disco de desbaste,,0.0,,,0.0,MATERIAL
Distribuidor de carga,,0.0,,,0.0,MATERIAL
"Disyuntor termomagnético 460v, 200a, 3 polos",,0.0,,,0.0,MATERIAL
"Disyuntor termomagnético 460v, 25a, 3 polos",,0.0,,,0.0,MATERIAL
"Disyuntor termomagnético 460v, 40a, 3 polos",,0.0,,,0.0,MATERIAL
"Disyuntor termomagnético 460v, 60a, 3 polos",,0.0,,,0.0,MATERIAL
Ducha eléctrica (incluye accesorios),,0.0,,,0.0,MATERIAL
ELECTRODO,,0.0,,,0.0,MATERIAL
ELECTRODO #6010 1/8,,0.0,,,0.0,MATERIAL
ELECTRODO 6011 1/8,,0.0,,,0.0,MATERIAL
ELECTRODO RUTILICO,,0.0,,,0.0,MATERIAL
ELECTRODOS PARA ACERO INOXIDABLE,,0.0,,,0.0,MATERIAL
ELEVADOR (1 SACO),,0.0,,,0.0,EQUIPO
EMPAQUES D = 150 MM,,0.0,,,0.0,MATERIAL
EMPAQUES D = 200 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D = 100 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D = 300 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D = 80 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D= 200 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D= 250 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D= 300 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO D= 400 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 100 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 150 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 200 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 250 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 300 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 400 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 80 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DE NEOPRENO DN 900 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 100 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 100X50 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 150 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 150X100 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 150X250 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 200 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 200X100 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 200X150 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 250 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 300 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 300X200 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 300X80 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 400 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 50 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 80 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 80 X 50 MM,,0.0,,,0.0,MATERIAL
EMPAQUES DN = 900 MM,,0.0,,,0.0,MATERIAL
EMPASTE IMPERMEABLE A BASE DE CEMENTO,,0.0,,,0.0,MATERIAL
ENCOFRADO DE ESTRUCTURAS,m,0.0,,,0.0,MATERIAL
ENCOFRADO DE ESTRUCTURAS,,0.0,,,0.0,MATERIAL
ENCOFRADO METALICO,,0.05,,,0.0,EQUIPO
ENCOFRADO METÁLICO MÓDULO CIRCULAR.,,0.0,,,0.0,EQUIPO
ENCOFRADO METÁLICO MÓDULO CIRCULAR.,,0.625,,,0.0,EQUIPO
ENCOFRADO RECTO,,0.0,,,0.0,MATERIAL
ENCOFRADO TABLERO LOSA,,0.0,,,0.0,EQUIPO
ENCOFRADOR O CARPINTERO DE RIBERA E. O. D2,,4.39,541210012,ND,0.3809,MANO DE OBRA
EQUIPO AIRLESS,,0.0,,,0.0,EQUIPO
EQUIPO DE CERTIFICACION DE CABLEADO,,0.0,,,0.0,EQUIPO
EQUIPO DE CERTIFICACION DE CABLEADO.,,0.0,,,0.0,EQUIPO
EQUIPO DE CERTIFICACIÓN DE CABLEADO,,0.0,,,0.0,EQUIPO
EQUIPO DE CERTIFICACIÓN DE CABLEADO.,,0.0,,,0.0,EQUIPO
EQUIPO DE CORTE Y SUELDA.,,0.0,,,0.0,EQUIPO
EQUIPO DE INYECCIÓN,,0.0,,,0.0,EQUIPO
EQUIPO DE OXICORTE,,0.0,,,0.0,EQUIPO
EQUIPO DE PINTURA,,0.0,,,0.0,EQUIPO
EQUIPO DE PROTECCIÓN DE INCENDIOS (EXTINTOR 20 LBS),,0.0,,,0.0,MATERIAL
EQUIPO DE SUELDA,,0.0,,,0.0,EQUIPO
EQUIPO DE SUELDA AUTÓGENA,,0.0,,,0.0,EQUIPO
EQUIPO DE TOPOGRAFÍA,,3.75,,,0.0,EQUIPO
EQUIPO PERFORADOR PARA ANCLAJE (INCLUYE BARRENO),,0.0,,,0.0,EQUIPO
ESPESANTE,,0.0,,,0.0,MATERIAL
ESTACAS,u,0.5,,,0.0,MATERIAL
"ESTACIÓN DE CLASIFICACIÓN DE RESIDUOS CON 3 CANECAS DE 35 LITROS DE ACERO COLL ROLD CALIBRE 18, Y PLÁSTICO, CADA UNA CON TAPA VAIVÉN PARA SEPARACIÓN DE RESIDUOS SÓLIDOS.",,0.0,,,0.0,MATERIAL
"ESTACIÓN DE TRABAJO, CORE I7 - 32 GB RAM - 1 TB DISCO DURO SSD",,0.0,,,0.0,MATERIAL
ESTRIBO DE VARILLA 16MM GALVANIZADO EN CALIENTE (POZOS ALC.),u,5.4,,,0.0,MATERIAL
ESTRIBO DE VARILLA 16MM GALVANIZADO EN CALIENTE (POZOS ALC.),,0.0,,,0.0,MATERIAL
ESTUCO PARA PAREDES EXTERIORES,,0.0,,,0.0,MATERIAL
EXCAVACIÓN A MÁQUINA EN SUELO SIN CLASIFICAR,,0.0,,,0.0,MATERIAL
EXCAVADORA SOBRE ORUGAS,,0.0,,,0.0,EQUIPO
"EXCAVADORA SOBRE ORUGAS (H=4,00 - 6,00M)",,0.0,,,0.0,EQUIPO
"EXCAVADORA SOBRE ORUGAS (H=4,00 - 6,00M).",,0.0,,,0.0,EQUIPO
EXCAVADORA SOBRE ORUGAS.,,0.0,,,0.0,EQUIPO
EXCAVADORA SOBRE ORUGAS. 130 HP.,,0.0,,,0.0,EQUIPO
Electrodo,,0.0,,,0.0,MATERIAL
Electrodo # 6011,,0.0,,,0.0,MATERIAL
Electrodo #6011 1/8,,0.0,,,0.0,MATERIAL
Electrodos Acero Inoxidable,,0.0,,,0.0,MATERIAL
Epóxico aséptico (2 componentes),,0.0,,,0.0,MATERIAL
Epóxico grado sanitario con resistencia química (2 componentes),,0.0,,,0.0,MATERIAL
Equalizador de potencial 100ka,,0.0,,,0.0,MATERIAL
Equipo automatización puerta vehicular,,0.0,,,0.0,MATERIAL
Equipo de Suelda /Autogena,,0.0,,,0.0,EQUIPO
Equipo de oxicorte,,0.0,,,0.0,EQUIPO
Escalera telescópica manual,,0.0,,,0.0,EQUIPO
Estructura de acero galvanizado para cielo raso,,0.0,,,0.0,MATERIAL
Extintor 10 libras CO2,,0.0,,,0.0,MATERIAL
Extintor 10 libras PQS ABC recargable,,0.0,,,0.0,MATERIAL
"FILTRO BANDA, TOLVA DE UNION, BASTIDOR DE ACERO INOX. 304 L LINEA DE LAVADO CON CEPILLOS INTERNOS",,0.0,,,0.0,MATERIAL
FLOCULADOR AGITADO 400 LT,,0.0,,,0.0,MATERIAL
FONDO PARA PARED,,0.0,,,0.0,MATERIAL
"FUENTE DE ALIMENTACIÓN DE 100-240/ 24 VDC 10W 0,42 A SALIDA",,0.0,,,0.0,MATERIAL
FUENTE PARA PLC 100/240VCA 36W,,0.0,,,0.0,MATERIAL
Fibra de polipropileno o sintética,,0.0,,,0.0,MATERIAL
Fibra óptica multimodo OM3 6 hilos aislamiento PVC,,0.0,,,0.0,MATERIAL
Filtro tipo Y y cartucho,,0.0,,,0.0,MATERIAL
Filtro tipo strainer,,0.0,,,0.0,MATERIAL
Fondo falso similar a Leopold (Incluye retenedor de medios; tamaño 200 micrómetros y accesorios),,0.0,,,0.0,MATERIAL
Fregadero inoxidable,,0.0,,,0.0,MATERIAL
Fuente de alimentación ingreso: 220/110 VAC salida: 24 VDC 10A,,0.0,,,0.0,MATERIAL
Fuente de alimentación ingreso: 220/110 vac salida: 24 vdc 10a,,0.0,,,0.0,MATERIAL
Fuente de poder 24 VDC,,0.0,,,0.0,MATERIAL
Fuente de poder 24 vdc,,0.0,,,0.0,MATERIAL
GEOTEXTIL NT2000,,0.0,,,0.0,MATERIAL
GRASA LUBRICANTE,,0.0,,,0.0,MATERIAL
GRASA LUBRICANTE.,,0.0,,,0.0,MATERIAL
GRUA MOVIL,,0.0,,,0.0,EQUIPO
GRÚA MÓVIL,,0.0,,,0.0,EQUIPO
Gabinete De Incendio 80cmx80xcm Incluye Equipamiento,,0.0,,,0.0,MATERIAL
Galvalume 0.40mm prepintado incluye accesorios,,0.0,,,0.0,MATERIAL
Grata para amoladora,,0.0,,,0.0,MATERIAL
Grifería para lavamanos,,0.0,,,0.0,MATERIAL
Grupo electrogeno 750 KVA Inc. Panel de control,,0.0,,,0.0,MATERIAL
Grúa 10 Toneladas,,0.0,,,0.0,EQUIPO
Grúa Móvil,,0.0,,,0.0,EQUIPO
Grúa móvil,,0.0,,,0.0,EQUIPO
HERRAMIENTA ELECTRICA GENERAL,,0.0,,,0.0,EQUIPO
HERRAMIENTA ELECTRICA GENERAL.,,0.0,,,0.0,EQUIPO
HERRAMIENTA ELÉCTRICA GENERAL,,0.0,,,0.0,EQUIPO
HERRAMIENTA ELÉCTRICA GENERAL.,,0.0,,,0.0,EQUIPO
HERRAMIENTA GENERAL ELÉCTRICA,,0.0,,,0.0,EQUIPO
HERRAMIENTA GENERAL ELÉCTRICA.,,0.0,,,0.0,EQUIPO
HERRAMIENTA MANUAL.,,0.0,,,0.0,EQUIPO
HERRAMIENTA MENOR.,,0.0,,,0.0,EQUIPO
"HMI 7"" ETHERNET 480 PIXEL",,0.0,,,0.0,MATERIAL
"HMI 7"" ETHERNET 480 PÍXEL",,0.0,,,0.0,MATERIAL
HORMIGON ASFALTICO MEZCLA EN PLANTA,,0.0,,,0.0,MATERIAL
HORMIGON DE POZO F'C=180KG/CM2 REPLANTILLO,,0.0,,,0.0,MATERIAL
HORMIGON DE POZO F'C=180KG/CM2 REPLANTILLO,m3,90.0,,,0.0,MATERIAL
HORMIGON PREMEZCLADO F'C = 240 KG/CM2,,0.0,,,0.0,MATERIAL
"HORMIGON PREMEZCLADO F'C=280KG/CM2 - A/C 0,45",,0.0,,,0.0,MATERIAL
"HORMIGON PREMEZCLADO F'C=280KG/CM2 - A/C 0,45",m3,112.23,,,0.0,MATERIAL
"HORMIGON PREMEZCLADO F´C=300 KG/CM2 - A/C 0,42 - INCL ADITIVO",m3,120.63,,,0.0,MATERIAL
HORMIGON SIMPLE F´C 210 KG/CM2,m3,0.0,,,0.0,MATERIAL
HORMIGON SIMPLE F´C 210 KG/CM2,,0.0,,,0.0,MATERIAL
HORMIGÓN PREMEZCLADO (RESISTENCIA SEGÚN RUBRO),m3,93.52,,,0.0,MATERIAL
HORMIGÓN PREMEZCLADO (RESISTENCIA SEGÚN RUBRO),m3,97.33,,,0.0,MATERIAL
HORMIGÓN PREMEZCLADO F'C = 210 KG/CM2,,0.0,,,0.0,MATERIAL
HORMIGÓN PREMEZCLADO F'C=210KG/CM2,,0.0,,,0.0,MATERIAL
HORMIGÓN PREMEZCLADO INCLUYE ADITIVO,,0.0,,,0.0,MATERIAL
Helicóptero,,0.0,,,0.0,EQUIPO
Herramienta Manual,,0.0,,,0.0,EQUIPO
Herramienta Manual/Poleas,,0.0,,,0.0,EQUIPO
Herramienta Menor 5% M.O.,,0.0,,,0.0,EQUIPO
Herramienta manua,,0.0,,,0.0,EQUIPO
Herramienta manuaL,,0.0,,,0.0,EQUIPO
Herramienta manual,,0.0,,,0.0,EQUIPO
Herramienta manual.,,0.0,,,0.0,EQUIPO
Herramienta menor,,0.0,,,0.0,EQUIPO
"Hormigón (Arena, Ripio, Agua, Cemento)",,0.0,,,0.0,MATERIAL
Hormigón premezclado fç=280kg/cm2 A/C 0.45 incluye aditivo,,0.0,,,0.0,MATERIAL
IMPERMEABILIZANTE PARA MORTEROS,,0.0,,,0.0,MATERIAL
"INODORO TANQUE BAJO, INC. ACCESORIOS, TUBOS DE ABASTO, VÁLVULAS DE CIERRE Y LLAVES (CLASE A)",,0.0,,,0.0,MATERIAL
INSPECTOR DE OBRA E. O. B3,,4.88,541210012,ND,0.3809,MANO DE OBRA
"INTERRUPTOR AUTOMÁTICO 1 P 0,5 A",,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 1 P 10 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 1 P 16 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 1 P 32 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 2 P 10 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 2 P 20 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 2 P 3 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 2 P 32 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 2 P 6 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 1 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 10 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 100 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 16 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 2 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 3 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 32 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 4 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 6 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO 3 P 80 A,,0.0,,,0.0,MATERIAL
INTERRUPTOR AUTOMÁTICO PARA ILUMINACIÓN 1 P 10 A,,0.0,,,0.0,MATERIAL
"INTERRUPTOR DOBLE DE PLACA 10 A, 250 VAC - TIPO INTEMPERIE.",,0.0,,,0.0,MATERIAL
